,text,category,comment_length,uppercase_amount,predicted_category
3134,# AlexJonesShow LIVE - Planetary Bombshell : Director Of Covid - 19 Vaccine Program Says Pzifer Injection Erases Immune System ! ! !   TUNE IN : https :// ifw . io / 1a4b4d   CALL NOW : ( 877 ) 789 - 4475 |   Listen Line : 605 - 562 - 6325   Sign Up For Live Broadcast Alerts ! - Text : ' SHOW ' To : ( 833 ) 470 - 0222   Ultimate Krill Oil - 25 % Off : https :// www . infowarsstore . com / ultimate - krill - oil ,CRITICAL,average,high,CONSPIRACY
521,""" "" "" JEWS ARE BEHIND THE PANDEMIC "" ""   Anti - vaxer hit the streets in Poland denouncing the jews and those who "" "" rule the world "" "" to be responsible for the covid - 19 pandemic .   "" "" We do n't want Jewry in Poland "" "" Is one of the tagline of the protesters .   They also denounce the sanitary segregation and the vaccination coercion .   Even famous influencers like the model Samuela Górska gave her support to the right - wing party , assuming its anti - semitic and homophobic ideas .   Source : NFP ( MSM ) "" ",CONSPIRACY,average,neutral,CRITICAL
3737,""" Once you see these people as nothing more than sales reps it is easier to not answer the door or close it in their face : CDC Director Rochelle Walensky : "" "" My message right now is very simple : It is essential that these Americans ... get their second booster shot right away . "" "" You will always be "" "" under vaccinated "" "" . They are going to do away with the term "" "" fully vaccinated "" "" as they want mandatory annual jabs to wipe out the population . "" ",CONSPIRACY,average,low,CRITICAL
2640,"Pentagon Awarded Fact Checking Org . NewsGuard $ 750 K Contract Last Year To Downgrade Websites The Government Does Not Approve In yet more evidence of the federal government / Deep State ’s vested interest in advancing internet censorship ( or , as they call it , tackling “ misinformation ” ) , the Department of Defense awarded NewsGuard Technologies a $ 750,000 contract in September of 2021 for the organization ’s “ misinformation fingerprints ” project . This project is described as “ a catalogue of known hoaxes , falsehoods and misinformation narratives that are spreading online . ” “ We started the first phase of that work in 2020 , under the Trump Administration , working with the Pentagon and the Mike Pompeo - led State Department . This work is currently focused on Russian disinformation about its war in Ukraine . ” ARTICLE ",CRITICAL,long,neutral,CONSPIRACY
936,"FDA Authorizes First COVID - 1984 Breath Test Under Emergency Use Two weeks ago , ResApp , an Australian based company was touting the use of a new phone app that claims it can detect COVID - 1984 by the sound of a cough . Today , the FDA announces the authorization of a breathalyzer to see if you have COVID - 1984 ... “ Today ’s authorization is yet another example of the rapid innovation occurring with diagnostic tests for COVID - 19 , ” said Jeff Shuren , M.D. , J.D. , director of the FDA ’s Center for Devices and Radiological Health . “ The FDA continues to support the development of novel COVID - 19 tests with the goal of advancing technologies that can help address the current pandemic and better position the U.S. for the next public health emergency . ” They are outright telling you that none of their current tests work or have worked and yet they continue to create these ridiculous "" rapid innovations "" that are supposed to tell us we have a nonexistent virus ... What a joke ! SOURCE ",CONSPIRACY,long,neutral,CRITICAL
1252,Vaccinated Canadian sheeple will still need to take an expensive PCR molecular test in order to return to Canada from the United States after the land border reopens in November .   I just love reading angry comments of vaccinated sheeple on social networks in regards to why they still have to take a test after they surrendered all their rights and got a deadly mRNA poison . https :// www . cbc . ca / news / politics / molecular - tests - requirement - remain - border - open - 1 . 6214317 @ johnsonan ,CONSPIRACY,average,low,CRITICAL
1454,Us and Them : Global Elites Drive Demand for Private Jets to New Highs During Pandemic ,CRITICAL,short,high,CONSPIRACY
3700,"Bill Gates spent years preparing for global pandemic . Makes change from fucking underage girls , whether on private islands or in a hotel in Blackpool ... ",CRITICAL,short,low,CONSPIRACY
436,MONKEYPOX : do not uncouple the link between monkey pox that has emerged ( small # ) to the COVID vaccines ( mRNA ) ; the evidence is bullet proof clear that the vaccine subverts immune response https :// palexander . substack . com / p / monkey - pox - do - not - uncouple - the - link Join   https :// t . me / DrPaulAlexander ,CRITICAL,average,neutral,CONSPIRACY
3752,"The fight is far from over and good luck enforcing any of this outside of your leftist sheep strongholds of Vancouver and Victoria you weak and pathetic little WEF puppet . BC ’s Bill C - 36 lays the groundwork for forced vaccination for any illness the government chooses , and disciplinary measures for anyone who challenges prevailing public health narratives . Also , they can imprison a person 12 months if it is feared the person will commit hate speech in the future . @ elizabeth6 ",CRITICAL,average,low,CONSPIRACY
1283,"Champion show jumper   Leanne Barns ( 22 ) developed life ending blood clots on her lungs after two Moderna   Doctors say a simple cut or head bump could kill her    # DiedSuddenly We are on twitter now also to tell the truth so make sure to follow us there : https :// twitter . com / JungleTwittter Join our dating group ( not singles also accepted , we have a few exciting things to do just for you which does nt involve dating ) : https :// t . me /+ 96VOelh - JoM2ZWE0 And also the very same people that promote the vaccines deleted the Fb group called Died Suddenly News . We moved on telegram forever , join the group now : https :// t . me / DiedSuddenlyNewsOriginal ",CRITICAL,long,low,CONSPIRACY
2590,"Now is the time when some of those friends and family who you thought were pretty reliable vaccine holdouts will start to cave . After taking the clot shot , they 'll lose all self - respect and lash out at you as a means of distracting from their own self - loathing at having spinelessly submitted . Relationships will be ruined , families will be atomized . ",CRITICAL,average,low,CONSPIRACY
239,PREMIER LEAGUE FOOTBALLERS HAD FAKE VACCINE PASSPORTS - THE CULT ARE COMING BACK TO HAVE ANOTHER SHOT AT INTERNATIONAL TRAVEL AND PASSPORT ID TO FACILITATE THE DEPOPULATION AGENDA - BE THE RESISTANCE https :// www . reuters . com / lifestyle / sports / nba - is - sued - by - fired - referees - who - refused - covid - vaccines - 2022 - 11 - 14 / https :// www . reuters . com / lifestyle / sports / nba - is - sued - by - fired - referees - who - refused - covid - vaccines - 2022 - 11 - 14 / ,CONSPIRACY,average,high,CRITICAL
489,"The move to make COVID vax mandatory on your children ’s vax schedule is because that would shield Big Pharma from lawsuits related to it . Essentially , using your child as a “ Human shield . ” It will be up to individual states to choose to get on board . Right now , there are MANY states that will NOT allow this to go down . Especially Red states . So , you can either try to get a religious exemption , home school , or relocate to a state that wo n’t support forcefully injecting DEATH into your child . ",CONSPIRACY,average,neutral,CRITICAL
2441,"US Military personnel spotted in the South Korean mass death event , wtf are they doing there ? Probably Checking the aftermath of the HAARP activation # Truth Join us now Channel : @ wolfedeanna Chat : @ amanda10 ",CRITICAL,average,neutral,CONSPIRACY
784,"The UK government admits that vaccines have damaged the natural immune system of those who have been double - vaccinated . The UK government has admitted that once you have been double - vaccinated , you will never again be able to acquire full natural immunity to Covid variants - or possibly any other virus . So let 's watch the real "" pandemic begin now ! In its Week 42 "" COVID - 19 Vaccine Surveillance Report "" , the UK Department of Health admits on page 23 that "" N antibody levels appear to be lower in people who become infected after two doses of vaccination "" . It goes on to say that this drop in antibodies is essentially permanent . What does this mean ? We know that vaccines do not prevent infection or transmission of the virus ( indeed , the report elsewhere shows that vaccinated adults are now much more likely to be infected than unvaccinated ones ) . The British now find that the vaccine interferes with the body 's ability to make antibodies after infection not only against the spike protein but also against other parts of the virus . In particular , vaccinated people do not appear to form antibodies against the nucleocapsid protein , the envelope of the virus , which is a crucial part of the response in unvaccinated people . In the long term , the vaccinated are far more susceptible to any mutations in the spike protein , even if they have already been infected and cured once or more . The unvaccinated , on the other hand , will gain lasting , if not permanent , immunity to all strains of the alleged virus after being naturally infected with it even once . Source : https :// assets . publishing . service . gov . uk / government / uploads / system / uploads / attachment _ data / file/1027511 / Vaccine - surveillance - report - week - 42 . pdf The first insurance companies are backing down because a huge wave of claims is coming their way . Anthony Fauci confirms that the PCR test can not detect live viruses . Anthony Fauci confirms that neither the antigen test nor the PCR test can tell us whether someone is contagious or not ! ! ! This invalidates all the foundations of the so - called pandemic . The PCR test was the only indication of a pandemic . Without PCR - TEST no pandemic For all the press workers , doctors , lawyers , prosecutors etc . THIS is the final key , the ultimate proof that the measures must all be lifted immediately must be PLEASE SHARE "" Please copy and paste this in as many comments as you can do not try and post this on your main Facebook page as it will be taken down by Facebook let ’s spread the word "" assets . publishing . service . gov . uk https :// assets . publishing . service . gov . uk / government / uploads / system / uploads / attachment _ data / file / 1027511 / Vaccine - surveillance - report - week - 42 . pdf ",CONSPIRACY,long,low,CRITICAL
2889,"In May , FBI whistleblowers revealed to House Republicans that the agency had created "" threat tags "" on FBI investigations into parents and local GOP officials "" in almost every region of the country "" who publicly opposed school vaccine and mask mandates . Well - versed in the FBI 's information suppression tactics , Judicial Watch filed a Freedom of Information Act lawsuit for all FBI records related to the Garland witch - hunt memo , which the attorney general himself testified he crafted after the Biden simps in charge of the National School Board Association released a letter labeling conservative parents as "" domestic terrorists . "" Garland testified that he based his memorandum off of a since - retracted letter from the National School Board Association that labeled parents as "" domestic terrorists . "" The National School Boards Association later issued an apology for the letter . No apology has been forthcoming from the DOJ , which refuses to cough up the FBI records sought by Judicial Watch . Judicial Watch attorney Ramona Cotca told me on Tuesday that "" the FBI conducted a very narrow search , and it is no surprise that the search did not produce any responsive records . We notified DOJ that Judicial Watch challenges the search and we are waiting to hear if it will undertake a reasonable search or whether we will move to briefing . Our next court filing is due Aug. 26 . "" Cover - ups are embedded in the FBI 's DNA , of course . Delve into the FBI 's murderous history of the Waco massacre , its destruction of evidence in the Ruby Ridge case , its wanton abuses and "" flagrant misconduct "" ( in the words of federal judge Gloria Navarro ) in the Bundy Ranch standoff , and its ongoing attempts to suppress the truth about the Oklahoma City bombing and stymie Utah attorney Jesse Trentadue 's FOIA lawsuit against both the FBI and CIA dating back to 2006 . Instigation is another trademark FBI goon - squad tactic . It was at the heart of the Patriot Conspiracy ( PATCON ) scheme at the center of Trentadue 's Oklahoma City bombing FOIA lawsuit . Fed infiltration and incitement also marked the Counter Intelligence Program ( COINTELPRO ) of the 1960s and 1970s ; multiple Islamic terror plots in the late 1990s and through the 2000s ; the manufacturing of the politically timed "" right - wing "" plot by "" rogue , "" career - driven FBI agents to kidnap Democrat Michigan Gov. Gretchen Whitmer ( which led to two acquittals and two mistrials ) just one month before the 2020 presidential election ; and yes , the FBI - Dem - Biden - weaponized Jan. 6 "" insurrection . "" If you ai n't questioning the timing , you ai n't paying attention to the real enemies within . https :// vdare . com / articles / michelle - malkin - fbi - feds - behaving - incorrigibly ",CONSPIRACY,long,neutral,CRITICAL
3319,# AlexJonesShow LIVE : # CovidVaccines Contains Substance Medical Documents Say Not To Be Used On Humans ! Watch & Share This Banned Broadcast : https :// freeworldnews . tv / channel / the - alex - jones - show   CALL NOW : ( 877 ) 789 - 4475   Subscribe To Live Broadcast Alerts ! - Text : ' SHOW ' To : ( 833 ) 470 - 0222   Ionic Fizzy Magnesium Drink Mix : https :// www . infowarsstore . com / fizzy - magnesium ,CRITICAL,average,high,CONSPIRACY
1930,"There will be a memorial gathering for the legend that was Jeff Wyatt , at 1 pm on Saturday the 22nd of October at Speakers ' Corner , Hyde Park , London to celebrate Jeff 's life , pay tribute to him and to acknowledge Jeff 's enormous contribution to the Freedom Movement , in the fight against the tyranny of The Great Reset and the New World Order . Jeff 's huge placards were well - known and the words on them were instantly recognisable as Jeff 's , so if anybody wishes to bring a banner or placard , it would be a fitting tribute to have Jeff 's slogans on them . Those that wish to say a few words about Jeff will be able to do so and a book of condolence will be available which will be passed to Jeff 's family . Jeff was a unifying force and EVERYBODY from all sections of the Movement will be very welcome as will Jeff 's former colleagues in the world of motor racing and politics . Saturday 22nd October 1 pm Speakers ' Corner , Hyde Park @ hhampton for more information . # JeffWyattMemorial ",CONSPIRACY,long,neutral,CRITICAL
247,Over 25 countries have less than 15 % of their population vaccinated . Where are the millions of dead people ? Burundi : population 11 million Vaccination rate : 0.1 % Congo : population 89 million Vaccination rate : 0.3 % Haiti : Population 11 million Vaccination rate : 0.9 % Chad : Population 16 million Vaccination rate : 0.9 % Yemen : population 29 million Vaccination rate : 1.3 % Ethiopia : Population 115 million Vaccination rate : 1.6 % South Sudan : Population 11 million Vaccination rate : 2.5 % Cameroon : population 26 million : Vaccination rate : 2.6 % Papua New Guinea : Population 9 million Vaccination rate : 2.7 % Nigeria : Population 206 million Vaccination rate : 2.7 % Madagascar : Population 26 million . Vaccination rate : 3.4 % Tanzania : Population 59 million . Vaccination rate : 3 % Mali : population : 20 million Vaccination rate : 3.6 % Burkina Faso : population 20 million Vaccination rate : 3.8 % Malawi : population 19 million Vaccination rate : 4.2 % Niger : population 24 million Vaccination rate : 4.4 % Sudan : Population 43 million Vaccination rate : 4.6 % Uganda : population 45 million Vaccination rate : 5 % Senegal : population 16 million Vaccination rate : 6.2 % Algeria : Population 43 million Vaccination rate : 14 % Kenya : Population 53 million Vaccination rate : 14 % Zambia : Population 18 million Vaccination rate : 10 % These countries have a combined population of over 900 million people and over 90 % of them are unvaccinated . Where are the mass graves ? Most of them did n't even lockdown or have social distancing or mask mandates . The vaccines have nothing to do with Covid or any virus . It is a bio - weapon . » » » Papua New Guinea : Population 9 million Vaccination rate : 2.7 % Obesity rate is 30 % which is higher than Canada and Europe . https :// www . nytimes . com / interactive / 2021 / world / covid - vaccinations - tracker . html ,CONSPIRACY,long,low,CRITICAL
3274,"How would you feel if a politician took your hard - earned money by taxation , and then used it to pay for … advertisements promoting a drug that ’s failing both safety and efficacy expectations ? Biden does n’t care how you feel about it — he ’s decided you need to foot the bill for Big Pharma . 𝐅𝐑𝐎𝐍𝐓𝐋𝐈𝐍𝐄𝐅𝐋𝐀𝐒𝐇 > > T . me / FrontlineFlash ",CRITICAL,average,neutral,CONSPIRACY
608,C19 “ vaccines ” are not proven to prevent transmission … so taking an experimental biological agent will * NOT * allow you to “ get back to normal ” Wait … isn’t that the purpose of a vaccine ? ,CRITICAL,average,low,CONSPIRACY
298,"AUSTRALIA - Aussie Police Using LRAD Sonic Weapons and EMF weapons on Protestors Causing Permanent Nerve Damage . They used these weapons on the Truckers and Canada plans to do the same thing now ! Let the world know . We want peace we want a normal life , we want family and we do n't want these weapons . EMF and 5 G protection at this link : https :// dq271 . isrefer . com / go / AultHome / AUL1691 / read all the info necesarry and see what works for you - THOUGHTS ?   SHARE ! ! https :// t . me / QNewsOfficialTV ",CRITICAL,average,high,CONSPIRACY
58,"In 2014 , the # GatesFoundation funded tests of experimental HPV vaccines , developed by GSK and Merck , on 23,000 young girls in remote Indian provinces . Approximately 1,200 suffered severe side effects , including autoimmune and fertility disorders . Seven died . Indian government investigations charged that Gates funded researchers committed pervasive ethical violations : pressuring vulnerable village girls into the trial , bullying parents , forging consent forms , and refusing medical care to the injured girls . The case is now in the country ’s Supreme Court . In 2010 , Gates committed $ 10 billion to the WHO promising to reduce population , in part , through new vaccines . A month later Gates told a Ted Talk that new vaccines “ could reduce population ” . In 2014 , Kenya ’s Catholic Doctors Association accused the WHO of chemically sterilizing millions of unwilling Kenyan women with a phony “ tetanus ” vaccine campaign . ",CONSPIRACY,long,low,CRITICAL
3994,"Even the FDA Vaccine chief sees the writing on the wall , and is now backtracking on the COVID death jab . CRIMES . AGAINST . HUMANITY . NUREMBERG 2.0 . IT . IS . COMING . https :// www . theepochtimes . com / fda - vaccine - chief - suggests - its - time - to - move - on - from - mrna - covid - vaccines _ 4819777 . html ",CONSPIRACY,average,high,CRITICAL
3328,"And it achieved ... absolutely nothing . It did n't stop any virus . It has caused inflation , and we are paying for it , and will continue to pay for it . The only people who benefited from this $ 3.6 trillion are the companies and organisations who secured contracts and aid money , and the media outlets who took government cash for running Covid and vaccine propaganda . The biggest fraud heist in history . ",CRITICAL,average,low,CONSPIRACY
1004,"If we want to talk about “ bad people ” , let ’s talk about the communists in the news world who are literally committing suicide via COVID vaccine in an effort to “ own the unvaccinated ” on social media and then leaving their families to clean up their mess when they know damn well that these jabs are n’t safe . Might sound harsh , but it ’s the truth , and it comes from the heart . Maybe they should dedicate an article to that ! The media has zero self awareness and they love writing nasty articles about people , but hey , I ’m not dead from a booster shot , so I guess I ’m winning , and I guess I ’m not such a bad person since I ’m not the one imposing medical tyranny on people under the guise of “ journalism ” . So let me take this moment to say Happy New Year to the Fake News New York Times and the Miami New Times ! HERE IS TO ANOTHER YEAR OF FAKE NEWS PROPAGANDA KILLING PEOPLE WITH FAKE SCIENCE AND HYSTERIA ! How do these terrible people live with themselves ? ",CRITICAL,long,high,CONSPIRACY
3476,"In the future , when mind - reading technology arrives , the same people who argued for mandatory vaccines will say the government should be able to scan your thoughts for ' criminal intent ' . After all , it 's "" for the greater good . "" ",CRITICAL,average,low,CONSPIRACY
2150,"Do you know what these biological agents are doing to your children ? If your child happens to have an adverse reaction to these “ vaccines , ” you have no legal recourse . ",CRITICAL,short,low,CONSPIRACY
3972,"Trump is not above criticisms . But just because someone does n’t do something you like does n’t mean you totally abandon them . You help them become better . Look , I do n’t like that Trump never addressed big tech . I do n’t like that he promoted vaccines ( he never mandated though ) , I do n’t like that he propped up a bunch of Ted Cruz loyalists instead of Trump loyalists who all got rich off of his support and then they stabbed him in the back . I do n’t like that he did n’t tell Kevin McCarthy to F off when he told him not to endorse me in 2022 and gave him fake polling numbers . And at the same time , I ’m not going to abandon Trump . I love Trump and his America First values , and I love how much he scares the establishment and globalists . I ’m going to do everything I can to help him win again . ",CRITICAL,long,low,CONSPIRACY
678,Kanye says that the Clintons attempted to manipulate him into pushing the vaccine through his ex wife . He says that Trump is the sh * * . ,CRITICAL,short,low,CONSPIRACY
2003,The # AlexJonesShow LIVE ! Biden Pledges to Destroy America ’s “ Racist ” Highways While China Unveils Plan to Administer Global # VaccinePassports : https :// www . banthis . tv / channel / the - alex - jones - show   CALL NOW : ( 877 ) 789 - 4475   Sign Up For Live Broadcast Alerts ! - Text : ' SHOW ' To : ( 833 ) 470 - 0222   FK License Plate T - Shirt : https :// www . infowarsstore . com / gear / apparel / fk - license - plate - shirt ,CRITICAL,average,high,CONSPIRACY
1303,This awesome trend of liberation from big pharma ’s maiming childhood quackccine schedule has the DC parasite class and “ eyes wide shut ” crowd freaking out . ,CRITICAL,short,low,CONSPIRACY
3118,"A leading advisor for the World Health Organisation said Monday that China is still engaged in a “ massive cover up ” of the coronavirus pandemic , calling for a “ full investigation ” to be conducted by the US government and it ’s international allies . https :// summit . news / 2021 / 06 / 08 / video - w - h - o - advisor - says - china - engaged - in - massive - cover - up - of - covid - outbreak / ",CRITICAL,average,low,CONSPIRACY
554,"Aluminum adjuvant is one of the causes of Alzheimer ’s disease . And it 's in all vaccines , including the Covid ones and the boosters . Study : https :// www . tandfonline . com / doi / abs / 10 . 1080 / 15376516 . 2022 . 2058898 ? journalCode = itxm20 "" This study provides a mechanistic understanding of chronic aluminum - induced neuronal toxicity in the brain with relevance to Alzheimer ’s disease . "" Join us at : t . me / AgentsOfTruth t . me / AgentsOfTruthChat ",CRITICAL,average,low,CONSPIRACY
1902,"We have to understand the magnitude of the disinformation behind these experimental vaccines , as well as COVID - 19 in general . We have been lied to , but thankfully , many of us have not been deceived by these lies . ",CRITICAL,average,low,CONSPIRACY
2814,He claims to have been an activist for a decade - trying to reveal the corruption of Big Pharma why then did he promote the vaccine ? He knew that there was no long - term safety data ! Therefore no - one could give informed consent ...... yet he worked in a vaccine centre ! ! ! ! why has n't he apologised for promoting the vaccine ? it 's a bit odd is n't it ? ,CRITICAL,average,low,CONSPIRACY
2427,"THE ALEX JONES SHOW LIVE Deep State Democrats Announce Permanent Masks , Forced - Injections of Newborn Children : https :// ifw . io / smi   Get Live Broadcast Alerts ! - Text : ' SHOW ' To : ( 833 ) 637 - 17   Cyber Week Mega Blowout Sale : https :// ifw . io / 51d5ef   # RESETWARS : https :// www . resetwars . com / ",CONSPIRACY,average,high,CRITICAL
2469,""" The COVID vaccines are ineffective because they are just replicating the original "" "" virus "" "" that Fauci created . A replication of a synthetic chimeric vaccine attached to the original sars . There is no difference between COVID and the vaccinations . Catching COVID naturally is safer than receiving the vaccine , because the vaccine is injected directly into your veins whereas aerosolized COVID can be blocked by your nose . — ronaldwatkins . com "" ",CONSPIRACY,average,neutral,CRITICAL
1549,Marsha Blackburn : ' The Left Likes Lockdowns ' - - ' They Would Like to Have a Permanent Pandemic ' ,CRITICAL,short,high,CONSPIRACY
3431,"If the media has started to admit that people "" may need more time "" between boosters because vaccines "" eventually weaken the immune system , "" you know it 's 1,000x worse than that . ",CRITICAL,short,low,CONSPIRACY
2917,""" WHO wants us to focus on COVID , because 780,000 / year ( 15,000 / wk ) are ' dying of ' it . Nearly all elderly , with major comorbidities . ~ 58 million people die every year ( 40 % in Africa never reach 65 years ) . WHO 's cult - like COVID focus proves it is unfit to lead global health . Lying ( yes , Tedros lies here ) that we have "" "" all the tools to prevent infection "" "" and implying that vaccines do this , does not help . It further demolishes the credibility of public health in general . It contradicts even CDC . Profiting sponsors is a poor justification . PANDA Exco Member : Dr David Bell "" ",CRITICAL,long,neutral,CONSPIRACY
2178,Rand Paul ' Stars ' in Chinese Rap Video Accusing U.S. of Starting Coronavirus Pandemic ,CONSPIRACY,short,high,CRITICAL
1999,""" Pfizer CEO Albert Bourla once again calls people who are exposing Big Pharma lies "" "" criminals "" "" : Reporter : "" "" Correct me if I 'm wrong , but I believe I 've heard you talk about those who would deliberately peddle in misinformation as "" "" criminals . "" "" Is that something that you stand by ? "" "" Bourla : "" "" Yes , I do , because they are literally costing lives . They know what they are saying is lies but they do it despite that . "" "" "" ",CRITICAL,average,low,CONSPIRACY
2387,"I was around a lot of older normies this week . It ’s incredible how much of their conversation consists of discussing the vaccine , how many they ’ve had , and how the covid they got would have been worse / killed them if they did n’t get vaxxed . Honestly , carbon copy discussions from different people . Years into this . One thing we underestimate is just how little many ( maybe most ) people have on their minds that is n’t directly put there by the media . I guess they would be talking about the weather if it was n’t this . Telegram is fun and I ’d go insane if I did n’t have people to talk real shit with , but remember : We do n’t win without reaching people who still like Netflix . ",CRITICAL,long,low,CONSPIRACY
